#
# Output Filename: state_params.out
# Generation Time: 25-November-2013_15:18:01 (UTC)
# File Contents:   State Parameters Table
#
# EPS Version:     v2.5.8
#
# CFG Template:    v3.19
# EDF Template:    v3.12
# ITL Template:    v3.10
# EVF Template:    v3.1
#
# POR Definition:  CRID issue C4
# EVF (ESOC FD):   DDID appendix-H v2.1
#
# Input Timeline:  BC_SO10_FULL_________ITL_GEN_1A.itl
# Input CFG:       eps_mac.cfg
# Input EDF:       bepi.edf
# MDB version:     SISBCETB "ETB (1, 0, 38)"
# Input EVF:       bepi_events_mpo_00012.evf
#

Ref_date: 7-May-2024

Elapsed time             MERTIS          MERTIS   SIMBIOSYS_STC  SIMBIOSYS_HRIC  SIMBIOSYS_VIHI  SIMBIOSYS_VIHI
ddd_hh:mm:ss          MERTIS_DR      MERTIS_PWR      CURRENT_DR  HRIC_DATA_RATE  VIHI_DATA_RATE      VIHI_POWER
---------------------------------------------------------------------------------------------------------------
001_23:30:30                  0               1           15600            1000             102               1
001_23:34:30                  0               1           15600            1000             126               1
001_23:36:40                  0               1           40420            1000             126               1
001_23:40:40                  0               1           40420            1000              82               1
001_23:41:40                  0               1           69400            1000              82               1
001_23:45:40                  0               1           69400            1000             102               1
001_23:46:20                  0               1          133340            1000             102               1
002_00:03:40                  0               1           69400            1000             102               1
002_00:04:20                  0               1           69400            1000              82               1
002_00:08:10                  0               1           40420            1000              82               1
002_00:09:00                  0               1           40420            1000             126               1
002_00:12:40                  0               1           15600            1000             126               1
002_00:20:10                  0               1           15600            1000             126               1
002_00:23:40                  0               1               0            1000             126               1
002_01:47:10                  0               1           15600            1000             126               1
002_01:50:00                  0               1           15600            1000             126               1
002_01:56:20                  0               1           15600            1000             126               1
002_01:58:20                  0               1           40420            1000             126               1
002_02:02:20                  0               1           40420            1000              82               1
002_02:03:20                  0               1           69400            1000              82               1
002_02:07:30                  0               1           69400            1000             102               1
002_02:08:00                  0               1          133340            1000             102               1
002_02:25:30                  0               1           69400            1000             102               1
002_02:26:00                  0               1           69400            1000              82               1
002_02:29:50                  0               1           40420            1000              82               1
002_02:30:40                  0               1           40420            1000             126               1
002_02:34:20                  0               1           15600            1000             126               1
002_02:36:20                  0               1           15600            1000             102               1
002_02:40:00                  0               1           15600            1000             182               1
002_02:42:00                  0               1           15600            1000             182               1
002_02:45:30                  0               1               0            1000             182               1
002_04:09:00                  0               1           15600            1000             182               1
002_04:11:40                  0               1           15600            1000             182               1
002_04:14:00                  0               1           15600            1000             102               1
002_04:18:00                  0               1           15600            1000             126               1
002_04:20:10                  0               1           40420            1000             126               1
002_04:24:10                  0               1           40420            1000              82               1
