#
# Output Filename: power_avg.out
# Generation Time: 25-November-2013_15:18:01 (UTC)
# File Contents:   Average Power Values
#
# EPS Version:     v2.5.8
#
# CFG Template:    v3.19
# EDF Template:    v3.12
# ITL Template:    v3.10
# EVF Template:    v3.1
#
# POR Definition:  CRID issue C4
# EVF (ESOC FD):   DDID appendix-H v2.1
#
# Input Timeline:  BC_SO10_FULL_________ITL_GEN_1A.itl
# Input CFG:       eps_mac.cfg
# Input EDF:       bepi.edf
# MDB version:     SISBCETB "ETB (1, 0, 38)"
# Input EVF:       bepi_events_mpo_00012.evf
#

Ref_date: 7-May-2024

Elapsed time        Total         ANTENNA            SSMM            BELA             ISA          MERMAG          MERTIS            MGNS            MORE          PHEBUS          SERENA   SIMBIOSYS_STC  SIMBIOSYS_HRIC  SIMBIOSYS_VIHI       MIXS_SIXS
ddd_hh:mm:ss      (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
108_00:00:00      193.550           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000          25.000          34.300           0.000           0.000           0.000          21.600
109_00:00:00      171.450           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          21.600
110_00:00:00      161.220           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          24.000          33.400           0.000           0.000           0.000          21.600
111_00:00:00      137.220           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
112_00:00:00      137.220           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
113_00:00:00      189.650           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000          24.000          34.300           0.000           0.000           0.000          18.700
114_00:00:00      168.550           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          18.700
115_00:00:00      171.450           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          21.600
116_00:00:00      137.220           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
117_00:00:00      137.220           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
118_00:00:00      137.220           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
119_00:00:00      136.650           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000           2.400           0.000           0.000           0.000          21.600
120_00:00:00      191.800           0.000           0.000          43.900          12.870           5.630           9.000           5.000          37.000          22.500          37.200           0.000           0.000           0.000          18.700
121_00:00:00      165.650           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          34.300           0.000           0.000           0.000          18.700
122_00:00:00      254.520          97.000           0.000          13.470          12.870           4.880          12.900           5.000          37.000          24.000          33.400           0.000           0.000           0.000          14.000
123_00:00:00      230.520          97.000           0.000          13.470          12.870           4.880          12.900           5.000          37.000           0.000          33.400           0.000           0.000           0.000          14.000
124_00:00:00      249.120          97.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          22.500          33.400           0.000           0.000           0.000          14.000
125_00:00:00      257.050          97.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          14.000
126_00:00:00      278.300          97.000           0.000          43.900          12.870           5.630           9.000           5.000          37.000          22.500          34.300           0.000           0.000           0.000          11.100
127_00:00:00      281.200          97.000           0.000          43.900          12.870           5.630           9.000           5.000          37.000          22.500          37.200           0.000           0.000           0.000          11.100
128_00:00:00      259.920          97.000           0.000          22.770          12.870           4.880           9.000           5.000          37.000          24.000          33.400           0.000           0.000           0.000          14.000
129_00:00:00      226.620          97.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          14.000
130_00:00:00      226.620          97.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          14.000
131_00:00:00      226.620          97.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          14.000
132_00:00:00      158.050           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          34.300           0.000           0.000           0.000          11.100
133_00:00:00      161.700           0.000           0.000          43.900          12.870           5.630           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          11.100
134_00:00:00      186.450           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000          22.500          33.400           0.000           0.000           0.000          14.000
135_00:00:00      133.520           0.000           0.000          13.470          12.870           4.880          12.900           5.000          37.000           0.000          33.400           0.000           0.000           0.000          14.000
136_00:00:00      133.520           0.000           0.000          13.470          12.870           4.880          12.900           5.000          37.000           0.000          33.400           0.000           0.000           0.000          14.000
137_00:00:00      163.620           0.000           0.000          13.470          12.870           4.880          12.900           5.000          37.000          22.500          33.400           0.000           0.000           0.000          21.600
138_00:00:00      191.050           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000          22.500          37.200           0.000           0.000           0.000          18.700
139_00:00:00      165.650           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          34.300           0.000           0.000           0.000          18.700
140_00:00:00      168.550           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          34.300           0.000           0.000           0.000          21.600
141_00:00:00      165.120           0.000           0.000          13.470          12.870           4.880          12.900           5.000          37.000          24.000          33.400           0.000           0.000           0.000          21.600
142_00:00:00      137.790           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           3.470           0.000          18.700
143_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
144_00:00:00      168.550           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          34.300           0.000           0.000           0.000          21.600
145_00:00:00      155.550           0.000           0.000          43.900          12.870           4.880           9.000           5.000           0.000          24.000          34.300           0.000           0.000           0.000          21.600
146_00:00:00      134.450           0.000           0.000          43.900          12.870           4.880           9.000           5.000           0.000           0.000          37.200           0.000           0.000           0.000          21.600
147_00:00:00       97.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000           0.000           0.000          33.400           0.000           0.000           0.000          18.700
148_00:00:00       97.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000           0.000           0.000          33.400           0.000           0.000           0.000          18.700
149_00:00:00      119.820           0.000           0.000          13.470          12.870           4.880           9.000           5.000           0.000          22.500          33.400           0.000           0.000           0.000          18.700
150_00:00:00      167.650           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
151_00:00:00      198.920           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000          24.000          37.200           0.000           3.470           0.000          21.600
152_00:00:00      195.450           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000          24.000          37.200           0.000           0.000           0.000          21.600
153_00:00:00      149.620           0.000           0.000          22.770          12.870           4.880           9.000           5.000          37.000           6.000          33.400           0.000           0.000           0.000          18.700
154_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
155_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
156_00:00:00      139.740           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           2.710           0.000           2.710          18.700
157_00:00:00      188.840           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          37.200           6.180           0.000          11.210          21.600
158_00:00:00      189.840           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000           0.000          34.300           6.180           0.000          11.210          21.600
159_00:00:00      193.760           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000          22.500          34.300           2.710           0.000           0.000          21.600
160_00:00:00      138.120           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          18.700
161_00:00:00      141.580           0.000           0.000          13.470          12.870           5.630           9.000           5.000          37.000           0.000          37.200           0.000           0.000           2.710          18.700
162_00:00:00      164.830           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          24.000          37.200           0.000           0.000           2.710          18.700
163_00:00:00      189.840           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000           0.000          34.300           6.180           0.000          11.210          21.600
164_00:00:00      193.310           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000           0.000          34.300           6.180           3.470          11.210          21.600
165_00:00:00      213.840           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000          25.000          37.200           6.180           0.000          11.210          21.600
166_00:00:00      138.120           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          18.700
167_00:00:00      140.870           0.000           0.000          13.470          12.870           5.630           9.000           5.000          39.000           0.000          37.200           0.000           0.000           0.000          18.700
168_00:00:00      161.930           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          24.000          34.300           0.000           0.000           2.710          18.700
169_00:00:00      212.840           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000          24.000          37.200           6.180           0.000          11.210          21.600
170_00:00:00      196.210           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000           0.000          37.200           6.180           3.470          11.210          21.600
171_00:00:00      185.940           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          34.300           6.180           0.000          11.210          21.600
